ID,Player,Position,Age,Height ,Weight,Team,Against,Injury,Concussion,Home_Away,Games_Missed,Week of Injury,Injured
1361,Eric Weems,WR,30,69,195,Atl,Null,None,0,Null,0,0,0
572,Eric Winston,OL,32,79,302,Cin,Null,None,0,Null,0,0,0
637,Eric Wood,OL,29,76,310,Buf,Null,None,0,Null,0,0,0
252,Eric Wright,DB,30,70,200,TB,Wsh,Head,0,0,0,1,1
2131,Erik Lorig,RB,29,76,250,NO,Null,None,0,Null,0,0,0
429,Erik Pears,OL,33,80,316,SF,Null,None,0,Null,0,0,0
1092,Erik Swoope,TE,23,77,246,Ind,Null,None,0,Null,0,0,0
1099,Erik Walden,LB,30,74,250,Ind,Null,None,0,Null,0,0,0
329,Erin Henderson,LB,29,75,244,Min,Ind,Concussion,1,1,2,10,1
45,Ernie Sims,LB,30,72,230,Dal,Pit,Concussion,1,0,0,2,1
1952,Ethan Westbrooks,DL,25,75,267,LAR,Null,None,0,Null,0,0,0
1991,Eugene Monroe,OL,28,77,300,Bal,Null,None,0,Null,0,0,0
141,Eugene Sims,DL,29,78,249,LAR,Sea,Head,0,0,1,11,1
828,Evan Rodriguez,TE,27,74,239,TB,Null,None,0,Null,0,0,0
834,Evan Smith,OL,29,74,308,TB,Null,None,0,Null,0,0,0
2079,Evan Spencer,WR,22,74,205,Wsh,Null,None,0,Null,0,0,0
2431,Everson Griffen,DL,28,75,273,Min,Null,None,0,Null,0,0,0
174,Ezekiel Ansah,DL,26,77,275,Det,Min,Concussion,1,1,2,13,1
334,Fernando Velasco,OL,30,76,304,Ten,Ind,Concussion,1,0,0,12,1
185,Fletcher Cox,DL,24,68,310,Phi,Wsh,Concussion,1,1,1,1,1
1760,Fozzy Whittaker,RB,26,70,205,Car,Null,None,0,Null,0,0,0
1700,Frank Alexander,DL,26,76,270,Car,Null,None,0,Null,0,0,0
2165,Frank Clark,DL,22,75,272,Sea,Null,None,0,Null,0,0,0
1061,Frank Gore,RB,32,69,217,Ind,Null,None,0,Null,0,0,0
2049,Frank Kearse,DL,27,77,310,Wsh,Null,None,0,Null,0,0,0
1037,Frank Zombo,LB,28,75,254,KC,Null,None,0,Null,0,0,0
999,Frankie Hammond,WR,25,73,185,KC,Null,None,0,Null,0,0,0
1778,Fred Davis,TE,31,76,247,NE,Null,None,0,Null,0,0,0
261,Fred Jackson,RB,34,73,216,Buf,NE,Concussion,1,0,1,9,1
1336,Freddie Martino,WR,24,72,195,Atl,Null,None,0,Null,0,0,0
891,Frostee Rucker,DL,32,75,280,Ari,Null,None,0,Null,0,0,0
1275,G.J. Kinne,QB,27,74,234,Phi,Null,None,0,Null,0,0,0
2370,Gabe Ikard,OL,25,76,304,Ten,Null,None,0,Null,0,0,0
1859,Gabe Jackson,OL,24,75,336,Oak,Null,None,0,Null,0,0,0
1630,Gabe Wright,DL,23,75,300,Det,Null,None,0,Null,0,0,0
398,Garrett Celek,TE,27,77,252,SF,Null,None,0,Null,0,0,0
1581,Garrett Gilbert,QB,24,76,221,Det,Null,None,0,Null,0,0,0
796,Garrett Gilkey,OL,25,78,315,TB,Null,None,0,Null,0,0,0
112,Garrett Graham,TE,29,75,241,Hou,Ten,Concussion,1,0,1,8,1
285,Garrett Graham,TE,29,75,241,Hou,Cin,Concussion,1,0,0,13,1
2110,Garrett Grayson,QB,24,74,220,NO,Null,None,0,Null,0,0,0
1942,Garrett Reynolds,OL,28,79,305,LAR,Null,None,0,Null,0,0,0
623,Garrison Sanborn,OL,30,73,240,Buf,Null,None,0,Null,0,0,0
2170,Garry Gilliam,OL,25,77,306,Sea,Null,None,0,Null,0,0,0
1744,Garry Peters,DB,31,72,200,Car,Null,None,0,Null,0,0,0
1653,Garth Gerhart,OL,27,73,310,GB,Null,None,0,Null,0,0,0
708,Gary Barnidge,TE,30,78,250,Cle,Null,None,0,Null,0,0,0
1119,Gavin Escobar,TE,24,78,260,Dal,Null,None,0,Null,0,0,0
2448,Gavin Lutman,WR,24,76,201,Min,Null,None,0,Null,0,0,0
1798,Geneo Grissom,DL,23,75,252,NE,Null,None,0,Null,0,0,0
514,Geno Atkins,DL,27,73,303,Cin,Null,None,0,Null,0,0,0
1558,Geno Smith,QB,25,75,221,NYJ,Null,None,0,Null,0,0,0
1424,Geoff Schwartz,OL,29,78,340,NYG,Null,None,0,Null,0,0,0
1158,Geoff Swaim,TE,22,76,250,Dal,Null,None,0,Null,0,0,0
1831,George Atkinson III,RB,31,73,218,Oak,Null,None,0,Null,0,0,0
1120,George Farmer,WR,22,73,220,Dal,Null,None,0,Null,0,0,0
225,George Iloka,DB,25,76,225,Cin,Ind,Concussion,1,1,0,5,1
805,George Johnson,DL,28,76,265,TB,Null,None,0,Null,0,0,0
186,George Selvie,DL,28,76,270,Jac,Buf,Concussion,1,1,2,13,1
286,George Selvie,DL,28,76,270,Dal,LAC,Concussion,1,1,0,9,1
1629,George Winn,RB,25,71,215,Det,Null,None,0,Null,0,0,0
855,Gerald Christian,TE,24,75,244,Ari,Null,None,0,Null,0,0,0
2436,Gerald Hodges,LB,24,74,243,Min,Null,None,0,Null,0,0,0
818,Gerald McCoy,DL,27,76,300,TB,Null,None,0,Null,0,0,0
687,Gerald Rivers,DL,25,74,250,Den,Null,None,0,Null,0,0,0
340,Gerald Sensabaugh,DB,32,73,208,Dal,NYG,Concussion,1,0,0,2,1
1216,Gerell Robinson,RB,26,76,220,Mia,Null,None,0,Null,0,0,0
1383,Geremy Davis,WR,23,74,216,NYG,Null,None,0,Null,0,0,0
2253,Gerod Holliman,DB,21,72,218,Pit,Null,None,0,Null,0,0,0
60,Gino Gradkowski,OL,27,75,300,Bal,Den,Head,0,0,0,13,1
1885,Giorgio Tavecchio,K,25,70,182,Oak,Null,None,0,Null,0,0,0
515,Giovani Bernard,RB,24,69,208,Cin,Null,None,0,Null,0,0,0
853,Glenn Carson,LB,25,75,236,Ari,Null,None,0,Null,0,0,0
406,Glenn Dorsey,DL,30,73,297,SF,Null,None,0,Null,0,0,0
2106,Glenn Foster,DL,31,76,285,NO,Null,None,0,Null,0,0,0
775,Glenn Winston,RB,26,74,220,Cle,Null,None,0,Null,0,0,0
1605,Glover Quin,DB,29,72,206,Det,Null,None,0,Null,0,0,0
1618,Golden Tate,WR,27,70,195,Det,Null,None,0,Null,0,0,0
1054,Gosder Cherilus,OL,31,79,316,Ind,Null,None,0,Null,0,0,0
1331,Grady Jarrett,DL,22,72,290,Atl,Null,None,0,Null,0,0,0
1721,Graham Gano,K,28,74,205,Car,Null,None,0,Null,0,0,0
922,Greg Ducre,DB,23,70,183,LAC,Null,None,0,Null,0,0,0
1131,Greg Hardy,DL,27,76,279,Dal,Null,None,0,Null,0,0,0
1192,Greg Jennings,WR,32,72,195,Mia,Null,None,0,Null,0,0,0
1743,Greg Olsen,TE,30,77,253,Car,Null,None,0,Null,0,0,0
1945,Greg Robinson,OL,23,77,332,LAR,Null,None,0,Null,0,0,0
